2019-11-18 14:17:40 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57107)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:17:42,019 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57102)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:17:42 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57102)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:18:28,632 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:18:28 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:18:31,746 INFO     Connection established with ('127.0.0.1', 57247)
2019-11-18 14:18:31 INFO     Connection established with ('127.0.0.1', 57247)
2019-11-18 14:18:35,898 INFO     Connection established with ('127.0.0.1', 57256)
2019-11-18 14:18:35 INFO     Connection established with ('127.0.0.1', 57256)
2019-11-18 14:19:11,851 WARNING  Client disconnected: <socket.socket fd=1496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57256)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:19:11 WARNING  Client disconnected: <socket.socket fd=1496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57256)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
